number,symbol,period,atomic_weight
1,H,1,1.008
2,He,1,4.0026022
3,Li,2,6.94
4,Be,2,9.01218315
5,B,2,10.81
6,C,2,12.011
7,N,2,14.007
8,O,2,15.999
9,F,2,18.99840316
10,Ne,2,20.17976
11,Na,3,22.98976928
12,Mg,3,24.305
13,Al,3,26.98153857
14,Si,3,28.085
15,P,3,30.973762
16,S,3,32.06
17,Cl,3,35.45
18,Ar,3,39.9481
19,K,4,39.09831
20,Ca,4,40.0784
21,Sc,4,44.9559085
22,Ti,4,47.8671
23,V,4,50.94151
24,Cr,4,51.99616
25,Mn,4,54.9380443
26,Fe,4,55.8452
27,Co,4,58.9331944
28,Ni,4,58.69344
29,Cu,4,63.5463
30,Zn,4,65.382
31,Ga,4,69.7231
32,Ge,4,72.6308
33,As,4,74.9215956
34,Se,4,78.9718
35,Br,4,79.904
36,Kr,4,83.7982
37,Rb,5,85.46783
38,Sr,5,87.621
39,Y,5,88.905842
40,Zr,5,91.2242
41,Nb,5,92.906372
42,Mo,5,95.951
43,Tc,5,98
44,Ru,5,101.072
45,Rh,5,102.905502
46,Pd,5,106.421
47,Ag,5,107.86822
48,Cd,5,112.4144
49,In,5,114.8181
50,Sn,5,118.7107
51,Sb,5,121.7601
52,Te,5,127.603
53,I,5,126.904473
54,Xe,5,131.2936
55,Cs,6,132.905452
56,Ba,6,137.3277
57,La,6,138.905477
58,Ce,6,140.1161
59,Pr,6,140.907662
60,Nd,6,144.2423
61,Pm,6,145
62,Sm,6,150.362
63,Eu,6,151.9641
64,Gd,6,157.253
65,Tb,6,158.925352
66,Dy,6,162.5001
67,Ho,6,164.930332
68,Er,6,167.2593
69,Tm,6,168.934222
70,Yb,6,173.0451
71,Lu,6,174.96681
72,Hf,6,178.492
73,Ta,6,180.947882
74,W,6,183.841
75,Re,6,186.2071
76,Os,6,190.233
77,Ir,6,192.2173
78,Pt,6,195.0849
79,Au,6,196.9665695
80,Hg,6,200.5923
81,Tl,6,204.38
82,Pb,6,207.21
83,Bi,6,208.980401
84,Po,6,209
85,At,6,210
86,Rn,6,222
87,Fr,7,223
88,Ra,7,226
89,Ac,7,227
90,Th,7,232.03774
91,Pa,7,231.035882
92,U,7,238.028913
93,Np,7,237
94,Pu,7,244
95,Am,7,243
96,Cm,7,247
97,Bk,7,247
98,Cf,7,251
99,Es,7,252
100,Fm,7,257
101,Md,7,258
102,No,7,259
103,Lr,7,266
105,Db,7,268
106,Sg,7,269
107,Bh,7,270
108,Hs,7,269
109,Mt,7,278
110,Ds,7,281
111,Rg,7,282
112,Uub,7,285
113,Uut,7,286
114,Uuq,7,289
115,Uup,7,289
116,Uuh,7,293
117,Uus,7,294
118,Uuo,7,294
